material_id,gt_fe_per_atom,template_id,query,pred_fe_per_atom,abs_err,raw_output,latency_s,label,label2
mp-27153,-1.76299271,2,Return only the formation energy per atom (eV/atom) for mp-27153.,-3.75,1.98700729,-3.75,0.8590281009674072,wrong_value,mode_guess
mp-1185959,-1.154441889999999,0,What is the formation energy per atom (eV/atom) of material mp-1185959? Answer with a single number.,0.0,1.154441889999999,0.0,0.6645700931549072,wrong_value,mode_guess
mp-1217322,-0.010930726197914,0,What is the formation energy per atom (eV/atom) of material mp-1217322? Answer with a single number.,0.0,0.010930726197914,0.0,0.7031970024108887,ok,ok
mp-570437,-0.827083558444443,2,Return only the formation energy per atom (eV/atom) for mp-570437.,3.75,4.577083558444443,3.75,0.8845810890197754,wrong_value,mode_guess
mp-352,-4.019811040833332,1,Give the formation energy per atom of mp-352 in eV/atom. No extra text.,0.0,4.019811040833332,0.0,0.7136800289154053,wrong_value,mode_guess
mp-30034,-1.853706801666665,0,What is the formation energy per atom (eV/atom) of material mp-30034? Answer with a single number.,0.0,1.853706801666665,0.0,0.7167549133300781,wrong_value,mode_guess
mp-2251,-0.4825014221875,0,What is the formation energy per atom (eV/atom) of material mp-2251? Answer with a single number.,0.0,0.4825014221875,0.0,0.7396221160888672,wrong_value,mode_guess
mp-624,-0.209188941071428,0,What is the formation energy per atom (eV/atom) of material mp-624? Answer with a single number.,0.0,0.209188941071428,0.0,0.8223538398742676,wrong_value,mode_guess
mp-672204,-0.400380674374999,2,Return only the formation energy per atom (eV/atom) for mp-672204.,3.78,4.180380674374999,3.78,0.5915780067443848,wrong_value,mode_guess
mp-1525632,0.0,0,What is the formation energy per atom (eV/atom) of material mp-1525632? Answer with a single number.,0.0,0.0,0.0,0.7169547080993652,ok,ok
mp-2133,-1.7908991124999991,2,Return only the formation energy per atom (eV/atom) for mp-2133.,3.75,5.540899112499999,3.75,0.8196680545806885,wrong_value,mode_guess
mp-730101,0.0,2,Return only the formation energy per atom (eV/atom) for mp-730101.,3.75,3.75,3.75,1.0191102027893066,wrong_value,mode_guess
mp-573812,-0.28239570742611,2,Return only the formation energy per atom (eV/atom) for mp-573812.,3.75,4.03239570742611,3.75,0.5985159873962402,wrong_value,mode_guess
mp-23184,-1.0426612775,0,What is the formation energy per atom (eV/atom) of material mp-23184? Answer with a single number.,0.0,1.0426612775,0.0,0.7481319904327393,wrong_value,mode_guess
mp-7904,-0.120742532380951,2,Return only the formation energy per atom (eV/atom) for mp-7904.,3.78,3.900742532380951,3.78,0.7267031669616699,wrong_value,mode_guess
mp-680463,-0.157726345384613,1,Give the formation energy per atom of mp-680463 in eV/atom. No extra text.,3.75,3.907726345384613,3.75,0.7485001087188721,wrong_value,mode_guess
mp-18299,-3.992617684583336,0,What is the formation energy per atom (eV/atom) of material mp-18299? Answer with a single number.,0.0,3.992617684583336,0.0,0.9663400650024414,wrong_value,mode_guess
mp-561197,-3.404466658305554,0,What is the formation energy per atom (eV/atom) of material mp-561197? Answer with a single number.,0.0,3.404466658305554,0.0,0.5382657051086426,wrong_value,mode_guess
mp-23261,-0.7564620653571411,0,What is the formation energy per atom (eV/atom) of material mp-23261? Answer with a single number.,0.0,0.7564620653571411,0.0,0.691662073135376,wrong_value,mode_guess
mp-22398,-2.648772015416667,0,What is the formation energy per atom (eV/atom) of material mp-22398? Answer with a single number.,0.0,2.648772015416667,0.0,0.6562938690185547,wrong_value,mode_guess
mp-32755,-1.857414943749999,0,What is the formation energy per atom (eV/atom) of material mp-32755? Answer with a single number.,0.04,1.897414943749999,0.04,0.7773199081420898,wrong_value,other_wrong
mp-1193140,-0.743681253794641,2,Return only the formation energy per atom (eV/atom) for mp-1193140.,3.75,4.493681253794641,3.75,0.924360990524292,wrong_value,mode_guess
mp-556911,-2.590574678333332,2,Return only the formation energy per atom (eV/atom) for mp-556911.,3.75,6.340574678333332,3.75,0.8017902374267578,wrong_value,mode_guess
mp-27148,-0.319383066011903,0,What is the formation energy per atom (eV/atom) of material mp-27148? Answer with a single number.,0.0,0.319383066011903,0.0,0.600275993347168,wrong_value,mode_guess
mp-2084,-0.6734596323437501,2,Return only the formation energy per atom (eV/atom) for mp-2084.,0.0,0.6734596323437501,0.0,0.6383562088012695,wrong_value,mode_guess
mp-19,0.0,0,What is the formation energy per atom (eV/atom) of material mp-19? Answer with a single number.,0.0,0.0,0.0,0.8256392478942871,ok,ok
mp-23265,-2.506313930624998,2,Return only the formation energy per atom (eV/atom) for mp-23265.,3.75,6.256313930624998,3.75,0.8183379173278809,wrong_value,mode_guess
mp-21526,-0.362189247187497,2,Return only the formation energy per atom (eV/atom) for mp-21526.,0.358,0.720189247187497,0.358,0.8192858695983887,wrong_value,other_wrong
mp-32800,-2.4930635934375,2,Return only the formation energy per atom (eV/atom) for mp-32800.,0.0,2.4930635934375,0.0,0.7143819332122803,wrong_value,mode_guess
mp-504759,-2.631161137083333,2,Return only the formation energy per atom (eV/atom) for mp-504759.,3.75,6.381161137083334,3.75,0.6181092262268066,wrong_value,mode_guess
mp-1100,-0.377014445,1,Give the formation energy per atom of mp-1100 in eV/atom. No extra text.,0.0,0.377014445,0.0,0.9166970252990724,wrong_value,mode_guess
mp-1195922,-0.417257172291664,0,What is the formation energy per atom (eV/atom) of material mp-1195922? Answer with a single number.,0.0,0.417257172291664,0.0,0.7173171043395996,wrong_value,mode_guess
mp-1819,-1.839006646249989,1,Give the formation energy per atom of mp-1819 in eV/atom. No extra text.,3.75,5.589006646249989,3.75,0.924083948135376,wrong_value,mode_guess
mp-23162,-1.87860569,2,Return only the formation energy per atom (eV/atom) for mp-23162.,0.0,1.87860569,0.0,0.820713996887207,wrong_value,mode_guess
mp-559798,-2.23065729,1,Give the formation energy per atom of mp-559798 in eV/atom. No extra text.,3.58,5.81065729,3.58,0.9205467700958252,wrong_value,other_wrong
mp-2793,-0.140219074531245,0,What is the formation energy per atom (eV/atom) of material mp-2793? Answer with a single number.,0.0,0.140219074531245,0.0,0.9178669452667236,wrong_value,mode_guess
mp-540675,-0.349825507562499,0,What is the formation energy per atom (eV/atom) of material mp-540675? Answer with a single number.,0.0,0.349825507562499,0.0,0.6175329685211182,wrong_value,mode_guess
mp-540922,-0.450521733124998,2,Return only the formation energy per atom (eV/atom) for mp-540922.,3.78,4.230521733124998,3.78,0.7157740592956543,wrong_value,mode_guess
mp-571518,-0.946381717857144,1,Give the formation energy per atom of mp-571518 in eV/atom. No extra text.,2.58,3.526381717857144,2.58,0.7786450386047363,wrong_value,other_wrong
mp-23165,-0.6577550981249981,1,Give the formation energy per atom of mp-23165 in eV/atom. No extra text.,3.75,4.407755098124998,3.75,0.5531570911407471,wrong_value,mode_guess
mp-23185,-0.857616325999999,1,Give the formation energy per atom of mp-23185 in eV/atom. No extra text.,3.75,4.607616325999999,3.75,0.8193211555480957,wrong_value,mode_guess
mp-985831,-1.564946299374999,0,What is the formation energy per atom (eV/atom) of material mp-985831? Answer with a single number.,0.0,1.564946299374999,0.0,0.7149567604064941,wrong_value,mode_guess
mp-1443,-2.537928646818182,0,What is the formation energy per atom (eV/atom) of material mp-1443? Answer with a single number.,0.0,2.537928646818182,0.0,0.7175009250640869,wrong_value,mode_guess
mp-1205852,-2.094997655499997,1,Give the formation energy per atom of mp-1205852 in eV/atom. No extra text.,0.045,2.139997655499997,0.045,0.7689299583435059,wrong_value,other_wrong
mp-31050,-0.30258604611111,0,What is the formation energy per atom (eV/atom) of material mp-31050? Answer with a single number.,0.0,0.30258604611111,0.0,0.8701918125152588,wrong_value,mode_guess
