run_id,setting,task,material_id,template_id,query,gt_value,raw_output,pred_value,refusal,parse_fail,label,latency_s,ts,error_type,notes,error_type_refined
20251224_103747,A_no_tool,band_gap,mp-1100,0,What is the band gap (eV) of material mp-1100? Answer with a single number.,1.0375,1.1,1.1,FALSE,FALSE,wrong_value,0.518975019,1766541715,wrong_value_other,,wrong_value_other
20251224_103747,A_no_tool,band_gap,mp-1105,0,What is the band gap (eV) of material mp-1105? Answer with a single number.,2.2352,1.1,1.1,FALSE,FALSE,wrong_value,0.715334892,1766541780,wrong_value_other,,wrong_value_other
20251224_103747,A_no_tool,band_gap,mp-504759,2,Provide the band gap for mp-504759 (unit: eV). Only the number.,0.9911,1.75,1.75,FALSE,FALSE,wrong_value,0.466369152,1766541742,mode_guess,,mode_guess
20251224_103747,A_no_tool,band_gap,mp-23165,2,Provide the band gap for mp-23165 (unit: eV). Only the number.,0.8929,1.75,1.75,FALSE,FALSE,wrong_value,0.920415878,1766541774,mode_guess,,mode_guess
20251224_103747,A_no_tool,band_gap,mp-542812,2,Provide the band gap for mp-542812 (unit: eV). Only the number.,1.0066,2.1,2.1,FALSE,FALSE,wrong_value,0.612469196,1766541700,wrong_value_other,,wrong_value_other
20251224_103747,A_no_tool,band_gap,mp-27148,2,Provide the band gap for mp-27148 (unit: eV). Only the number.,0.8362,1.71,1.71,FALSE,FALSE,wrong_value,0.920830011,1766541661,wrong_value_other,,wrong_value_other
20251224_103747,A_no_tool,band_gap,mp-19,1,Give the band gap of mp-19 in eV. No extra text.,0.1856,1.9,1.9,FALSE,FALSE,wrong_value,0.717578888,1766541736,wrong_value_other,,wrong_value_other
20251224_103747,A_no_tool,band_gap,mp-985829,1,Give the band gap of mp-985829 in eV. No extra text.,1.2237,1.75,1.75,FALSE,FALSE,wrong_value,0.819853783,1766541739,mode_guess,,mode_guess
20251224_103747,A_no_tool,band_gap,mp-23265,2,Provide the band gap for mp-23265 (unit: eV). Only the number.,2.0054,1.75,1.75,FALSE,FALSE,wrong_value,0.612396002,1766541700,mode_guess,,mode_guess
20251224_103747,A_no_tool,band_gap,mp-1213622,1,Give the band gap of mp-1213622 in eV. No extra text.,0.5263,0.7,0.7,FALSE,FALSE,wrong_value,1.022725105,1766541643,wrong_value_other,,wrong_value_other
20251224_103747,A_no_tool,band_gap,mp-23710,2,Provide the band gap for mp-23710 (unit: eV). Only the number.,3.7097,1.73,1.73,FALSE,FALSE,wrong_value,0.712035894,1766541756,wrong_value_other,,wrong_value_other
