run_id,setting,task,material_id,template_id,query,gt_value,raw_output,pred_value,refusal,parse_fail,label,latency_s,ts,error_type,notes
20251224_103747,A_no_tool,band_gap,mp-619575,2,Provide the band gap for mp-619575 (unit: eV). Only the number.,2.5175,1.7,1.7,False,False,wrong_value,0.7899131774902344,1766541639.652194,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-9851,0,What is the band gap (eV) of material mp-9851? Answer with a single number.,0.1063,1.3,1.3,False,False,wrong_value,0.5895648002624512,1766541640.242571,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-2793,0,What is the band gap (eV) of material mp-2793? Answer with a single number.,0.262799999999999,1.5,1.5,False,False,wrong_value,0.634984016418457,1766541640.878399,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-23184,2,Provide the band gap for mp-23184 (unit: eV). Only the number.,4.7135,1.7,1.7,False,False,wrong_value,0.7172942161560059,1766541641.5964532,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1213622,1,Give the band gap of mp-1213622 in eV. No extra text.,0.5263,0.7,0.7,False,False,wrong_value,1.0227251052856445,1766541642.6201012,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-30140,0,What is the band gap (eV) of material mp-30140? Answer with a single number.,4.1443,1.3,1.3,False,False,wrong_value,0.7145509719848633,1766541643.3353002,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1232276,0,What is the band gap (eV) of material mp-1232276? Answer with a single number.,0.4328,1.3,1.3,False,False,wrong_value,0.7038881778717041,1766541644.039884,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1227290,0,What is the band gap (eV) of material mp-1227290? Answer with a single number.,0.1101,1.3,1.3,False,False,wrong_value,0.7301700115203857,1766541644.770911,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1170,2,Provide the band gap for mp-1170 (unit: eV). Only the number.,1.514799999999999,1.7,1.7,False,False,wrong_value,0.7154109477996826,1766541645.487256,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-32633,0,What is the band gap (eV) of material mp-32633? Answer with a single number.,0.5265000000000001,1.3,1.3,False,False,wrong_value,0.8184192180633545,1766541646.306519,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1195922,2,Provide the band gap for mp-1195922 (unit: eV). Only the number.,0.376,1.5,1.5,False,False,wrong_value,0.9194440841674805,1766541647.227108,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-254,2,Provide the band gap for mp-254 (unit: eV). Only the number.,7.6164,1.75,1.75,False,False,wrong_value,0.776249885559082,1766541648.004457,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-18299,2,Provide the band gap for mp-18299 (unit: eV). Only the number.,0.2155,1.7,1.7,False,False,wrong_value,0.7525589466094971,1766541648.7581499,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-23185,0,What is the band gap (eV) of material mp-23185? Answer with a single number.,2.8624,1.3,1.3,False,False,wrong_value,0.42488718032836914,1766541649.1838348,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-23290,2,Provide the band gap for mp-23290 (unit: eV). Only the number.,1.7917,2.1,2.1,False,False,wrong_value,0.4158909320831299,1766541649.601111,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-30031,1,Give the band gap of mp-30031 in eV. No extra text.,3.8971,1.7,1.7,False,False,wrong_value,0.6350209712982178,1766541650.2372391,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-555908,0,What is the band gap (eV) of material mp-555908? Answer with a single number.,2.2721,1.3,1.3,False,False,wrong_value,0.5727131366729736,1766541650.810858,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-22398,0,What is the band gap (eV) of material mp-22398? Answer with a single number.,3.1061,1.3,1.3,False,False,wrong_value,0.8349292278289795,1766541651.646323,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-27628,0,What is the band gap (eV) of material mp-27628? Answer with a single number.,1.3552,1.5,1.5,False,False,wrong_value,0.9063801765441895,1766541652.553303,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1212833,0,What is the band gap (eV) of material mp-1212833? Answer with a single number.,0.3912,1.3,1.3,False,False,wrong_value,0.6124711036682129,1766541653.166789,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-571518,0,What is the band gap (eV) of material mp-571518? Answer with a single number.,1.9169,1.3,1.3,False,False,wrong_value,0.6396200656890869,1766541653.8076348,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-9852,2,Provide the band gap for mp-9852 (unit: eV). Only the number.,0.1259,1.7,1.7,False,False,wrong_value,0.7944700717926025,1766541654.6030452,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-34202,2,Provide the band gap for mp-34202 (unit: eV). Only the number.,0.3388,1.8,1.8,False,False,wrong_value,0.6114561557769775,1766541655.216325,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1195,2,Provide the band gap for mp-1195 (unit: eV). Only the number.,1.8930999999999991,1.7,1.7,False,False,wrong_value,0.6122701168060303,1766541656.6488981,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-672204,0,What is the band gap (eV) of material mp-672204? Answer with a single number.,0.378699999999999,1.5,1.5,False,False,wrong_value,0.8175101280212402,1766541657.467184,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-29179,2,Provide the band gap for mp-29179 (unit: eV). Only the number.,3.1002,1.9,1.9,False,False,wrong_value,0.817889928817749,1766541658.286174,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-1205121,2,Provide the band gap for mp-1205121 (unit: eV). Only the number.,0.2452,1.8,1.8,False,False,wrong_value,0.7180302143096924,1766541659.0049422,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-10497,2,Provide the band gap for mp-10497 (unit: eV). Only the number.,2.2919,1.8,1.8,False,False,wrong_value,0.715425968170166,1766541659.7210329,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-27148,2,Provide the band gap for mp-27148 (unit: eV). Only the number.,0.836199999999999,1.71,1.71,False,False,wrong_value,0.9208300113677979,1766541660.642965,wrong_value_other,
20251224_103747,A_no_tool,band_gap,mp-1545417,1,Give the band gap of mp-1545417 in eV. No extra text.,0.7358999999999991,1.8,1.8,False,False,wrong_value,0.8176131248474121,1766541661.461468,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1203760,0,What is the band gap (eV) of material mp-1203760? Answer with a single number.,1.0648,1.5,1.5,False,False,wrong_value,0.7166121006011963,1766541662.1789792,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-470,1,Give the band gap of mp-470 in eV. No extra text.,1.2157,1.7,1.7,False,False,wrong_value,0.715630054473877,1766541662.8956869,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-16922,2,Provide the band gap for mp-16922 (unit: eV). Only the number.,0.3248,1.7,1.7,False,False,wrong_value,0.8189597129821777,1766541663.715553,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-624,1,Give the band gap of mp-624 in eV. No extra text.,2.6454,1.7,1.7,False,False,wrong_value,1.0225331783294678,1766541664.7390022,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-22859,0,What is the band gap (eV) of material mp-22859? Answer with a single number.,1.6513,1.5,1.5,False,False,wrong_value,0.4401528835296631,1766541665.180075,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-31050,0,What is the band gap (eV) of material mp-31050? Answer with a single number.,3.6753,1.5,1.5,False,False,wrong_value,0.6459949016571045,1766541665.826807,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-541013,2,Provide the band gap for mp-541013 (unit: eV). Only the number.,1.0859,1.7,1.7,False,False,wrong_value,0.6522250175476074,1766541666.4798331,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-18536,1,Give the band gap of mp-18536 in eV. No extra text.,0.208499999999999,1.8,1.8,False,False,wrong_value,0.6161727905273438,1766541667.096894,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-200,1,Give the band gap of mp-200 in eV. No extra text.,0.861699999999999,1.7,1.7,False,False,wrong_value,0.5531909465789795,1766541667.6509702,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-23261,1,Give the band gap of mp-23261 in eV. No extra text.,2.7278,1.7,1.7,False,False,wrong_value,0.7750329971313477,1766541668.4267352,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-7440,0,What is the band gap (eV) of material mp-7440? Answer with a single number.,0.8684000000000001,1.3,1.3,False,False,wrong_value,0.5097317695617676,1766541668.937226,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-569867,0,What is the band gap (eV) of material mp-569867? Answer with a single number.,0.378,1.3,1.3,False,False,wrong_value,0.6769568920135498,1766541669.615385,mode_guess,
20251224_103747,A_no_tool,band_gap,mp-1205852,1,Give the band gap of mp-1205852 in eV. No extra text.,0.8523000000000001,1.7,1.7,False,False,wrong_value,0.6404151916503906,1766541670.25684,mode_guess,
